date,title,description,read more link,photo name (300x300) 
12/21/2000,Children’s Internet Protection Act (CIPA),"- It requires K-12 schools and libraries receiving federal funding to adopt and implement a children internet safety policy, preventing minors from accessing inappropriate content online.
- One of the measures they need to implement are Internet filters",http://en.wikipedia.org/wiki/Children's_Internet_Protection_Act,kidsafx.jpg
6/28/2001,U.S. vs. Microsoft Corp.,"- In this antitrust law case, the main question was whether Microsoft had manipulated its application programming interfaces to favor Internet Explorer over third party web browsers and becoming a possible monopoly.
- On November 2, 2001, the Department of Justice agreed to settle the case with Microsoft. 
- In the terms of the settlement, Microsoft was required to share its APIs with third-party companies and appoint a 3 person panel. This panel will have full access to Microsoft's systems, records, and source code for 5 years.",http://en.wikipedia.org/wiki/United_States_v._Microsoft_Corp.,gates-ap-1.jpg
4/16/2002,Ashcroft vs. Free Speech Coalition,"- Lawsuit against 2 provisions of the Child Pornography Prevention Act
- Final Ruling: The court annulled the 2 provisions in question, stating that they are unconstitutional and violates a person's right to engage in lawful speech",http://en.wikipedia.org/wiki/Ashcroft_v._Free_Speech_Coalition,Free_Speech_Coalition_2009.jpg
5/13/2002,Ashcroft vs American Civil Liberties Union,"- Case questioned the effectiveness of COPA in protecting children from harmful online content and that it would infringe on the rights of adults to receive non-pornographic or harmful messages
- Final Ruling: A permanent injunction was placed blocking COPA enforcement, ruling that using community standards would be more harmful and that the law was unconstitutional
- Effectively made COPA obsolete ",http://en.wikipedia.org/wiki/Ashcroft_v._American_Civil_Liberties_Union,apw2001112923659115225-300x300.jpg
3/14/2002,FCC Brand X decision,"- In a Declaratory Ruling, FCC concludes that cable modem services are an information service and not a cable service. 
- FCC determines that cable modem services are not subject to common carrier regulations because they don't have a separate telecommunication service. ",http://transition.fcc.gov/Bureaus/Cable/News_Releases/2002/nrcb0201.html,michael-powell.jpg
6/5/2003,Net Neutrality is Conceived ,"- Columbia Law professor Tim Wu coins the phrase ""net neutrality"" in a law review article ",https://cdt.org/files/speech/net-neutrality/2005wu.pdf,07bits-neutral-blog480.jpg
3/5/2005,FCC fines ISP for blocking VoIP,"- North Carolina telecommunications company, Madison River Communication, is accused of intentionally blocking voice over Internet Protocol (VoIP) calls 
- In a settlement, Madison River agrees to refrain from blocking VoIP calls for 30 months and to pay a $15,000 fine to the government 
- FCC's first attempt at enforcing net neutrality policies",http://news.cnet.com/Telco-agrees-to-stop-blocking-VoIP-calls/2100-7352_3-5598633.html,g28303g26g14.jpg
6/27/2005,National Cable & Telecommunications Association vs. Brand X Internet Services et al. ,"- Supreme Court upholds FCC's decision to classify cable Internet providers as information services and not telecommunication services
- Competing internet service providers (ISPs) such as Brand X are denied access to cable and phone lines 
- Cable Internet acess is left unregulated by the FCC",http://en.wikipedia.org/wiki/National_Cable_%26_Telecommunications_Association_v._Brand_X_Internet_Services,3448716319_8a052efb3e.jpg
9/23/2005,FCC issues a pro-net neutrality statement,"- FCC makes an Internet Policy Statement guaranteeing consumers the freedom to use their Internet connections as they please
- Statement outlines 4 principles to promote and preserve an open and free Internet for consumers",https://apps.fcc.gov/edocs_public/attachmatch/FCC-05-151A1.pdf,www.usnews.jpg
9/23/2005,FCC reclassifies DSL ,"- FCC decides to reclassify DSL broadband service as information services instead of telecommunication services
- Phone companies are exempt from common carrier rules that require them to share their infrastructure with Internet service providers",http://news.cnet.com/FCC-changes-DSL-classification/2100-1034_3-5820713.html,dsl-internet.jpg
2/8/2006,Internet and Universal Service Act of 2006,"- Requires the FCC to provide incentives to telecommunication carriers for investments in telecommunication infrastructures 
- Amends the Telecommunication Act of 1996",https://www.govtrack.us/congress/bills/109/s2256#summary,burns.jpg
5/1/2006,Consumer's Choice and Broadband Deployment Act ,"- Bill proposes an ""Internet Consumer Bill of Rights"", requiring all ISPs to adhere to the bill of rights
- Consists of nine principles such as consumers are allowed to access and post any lawful content they want and to connect any legal device to the network as they please
- Allowed the FCC to place fines on violators who would interfere with consumers' internal activities ",http://news.cnet.com/Senate-panel-proposes-Net-user-bill-of-rights/2100-1028_3-6085346.html,privacy_bill-of-rights-2.jpg
7/27/2006,Deleting Online Predators Act (DOPA),"- It requires schools, libraries, and select few businesses to block children from accessing social networking sites.
- If adults or children under adult supervision need to use these sites, the institutions are required to disable the restrictions for educational purposes
- Deemed controversial and as such failed to pass",http://en.wikipedia.org/wiki/Deleting_Online_Predators_Act_of_2006,myspace-banned.gif
9/1/2007,Comcast interferes with Bittorrent speeds ,- Comcast is accused of intentionally blocking and delaying upload speeds for Bittorrent users via Comcast's network,http://www.washingtonpost.com/wp-dyn/content/article/2007/10/19/AR2007101900842.html,Bittorrent-Logo-Purple.jpg
11/1/2007,Comcast Complaint,"- Public Knowledge and Free Press issue a complaint, requesting that FCC investigate this serious allegation against Comcast",https://www.publicknowledge.org/pdf/fp_pk_comcast_complaint.pdf,public_knowledge_0.jpg
1/9/2008,FCC Finally Takes Action,"- In response to the Comcast complaint, FCC decides to take action, scrutinizing Comcast's network management practices",https://www.publicknowledge.org/news-blog/blogs/martins-big-ces-announcement,Comcast_Logo.svg.png
3/1/2008,OFAC's Website Blacklist ,- The Office of Foreign Assets (OFAC) publishes a blacklist of websites that U.S. companies are prohibited from associating with and are required to freeze their assets ,http://en.wikipedia.org/wiki/Internet_censorship_in_the_United_States,Treasury-seal.jpg
8/1/2008,Comcast Issued A Cease-and-desist Order ,"- With a 3-2 vote, FCC gives Comcast a cease-and-desist order, requiring them to stop interferring with Bittorent's upload speeds and to continuously disclose how traffic will be managed to subscribers
- This marks the first time that a broadband provider has been found guilty of violating net neutrality rules. 
- FCC's second attempt at enforcing net neutrality policies",http://www.cnet.com/news/fcc-formally-rules-comcasts-throttling-of-bittorrent-was-illegal/,fcc-building-1.jpg
9/4/2008,Comcast Corp. vs. FCC,"- Comcast file an appeal, challenging the FCC's cease-and-desist order, in D.C.'s District Court of Appeals ",http://www.cnet.com/news/comcast-appeals-fcc-traffic-blocking-ruling/,photo06small.jpg
4/6/2010,Comcast wins case against FCC,"- In the Comcast Corp. vs. FCC case, the D.C. Court found that the FCC had provided no valid justification to regulate Comcast's network management practices.
- It also questioned whether the FCC had any authority under the Communications Act of 1934 to regulate ISPs or enforce net neutrality rules. ",http://en.wikipedia.org/wiki/Comcast_Corp._v._FCC,comcast_over_fcc.jpg
6/10/2010,Protecting Cyberspace as a National Asset Act of 2010,"- This gives the President of the United States the power to shut off the internet if it poses a threat to the country.
- Main goal of the bill was to enhance security online and prevent any attacks that may disable industries and disrupt economies. 
- It creates an Office of Cyberspace Policy and a National Center for Cybersecurity and Communications",http://en.wikipedia.org/wiki/Protecting_Cyberspace_as_a_National_Asset_Act,obama.jpg
9/20/2010,Combating Online Infringement & Counterfeits Act (COICA),"- A proposed amendment to Chapter 113 of Title 18 of the U.S. code. 
- This act allows the U.S. Attorney General to use the U.S. district court to bring a court action against an infringing domain name and order it to stop.
- The bill however was never enacted in 2010, requiring it to be resubmitted and eventually rewritten to become Protect IP Act.",http://en.wikipedia.org/wiki/Combating_Online_Infringement_and_Counterfeits_Act,District-of-MN-JPG-rgb-small.jpg
12/21/2010,Open Internet Rules ,"- In an attempt to regulate and curb ISPs, FCC created the Open Internet Rules
- The Rules enforced transparency of ISPs' network management and operations, prohibited ISPs from interferring with users' access to online content, and maintained an equal and fair Internet by preventing ISPs from picking favorites",http://en.wikipedia.org/wiki/FCC_Open_Internet_Order_2010,cc2d64f5-f050-408a-8e8a-d19daaf485c9-620x372.png
3/16/2011,Executive Cyberspace Coordination Act,"- Similar to Protecting Cyberspace as a National Asset Act but takes a different approach
- One of the things the bill does is it creates a National Office for Cyberspace, which will be the principal office in charge of dealing with all cyberspace issues, and a Federal Cybersecurity Practice Board, responsible for developing and updating online security policies and procedures",https://www.govtrack.us/congress/bills/112/hr1136#summary,300px-US_Department_of_Homeland_Security_Seal.svg.png
3/20/2011,AT&T & T-Mobile Merger,"- AT&T announces an intent to purchase T-Mobile USA. In response, the antitrust division of the U.S. Department of Justice pledged to block the takeover, eventually leading to AT&T abandoning the deal on December 19, 2011",http://en.wikipedia.org/wiki/Attempted_purchase_of_T-Mobile_USA_by_AT%26T,att_logo1a.jpg
5/12/2011,Protect Intellectual Property Act (Protect IP or PIPA),"- A rewrite of the COICA, PIPA gives the U.S. government and copyright holders access to more tools to limit use of rogue websites dedicated to infringing or counterfeit goods especially websites outside of the U.S.",http://en.wikipedia.org/wiki/PROTECT_IP_Act,ice-page2.jpg
10/26/2011,Stop Online Piracy Act (SOPA),"- A House of Representatives version of Protect IP (PIPA) 
- Allows the Department of Justice to obtain court orders against websites accused of engaging in copyright infringement. 
- Prohibits search engines, ISPs, payment facilitators and online advertising networks from associating and doing business with these websites. ",http://en.wikipedia.org/wiki/Stop_Online_Piracy_Act,censor-500x370.jpg
9/30/2011,Verizon Communications Inc. vs. FCC,"- Verizon requests an appeal, challenging FCC's Open Internet Rules, stating that the agency had no authority to use the rules to regulate ISPs
- Case is argued on September 9, 2013",http://en.wikipedia.org/wiki/Verizon_Communications_Inc._v._Federal_Communications_Commission_%282014%29,verizonvsfcc.jpg
11/30/2011,Cyber Intelligence Sharing & Protection Act (CISPA),"- It gives the U.S. government more options and resources to enhance security of networks against attacks
- Goal: to help the U.S. govt. investigate cyber threats and ensure that the network is equipped with sufficient security against cyberattacks",http://en.wikipedia.org/wiki/Cyber_Intelligence_Sharing_and_Protection_Act,cispa2.jpg
12/17/2011,Online Protection and Enforcement of Digital Trade Act (OPEN Act),"- An alternative to SOPA and PIPA
- The act seeks to stop money transfers to foreign websites whose primary purpose is to engage in piracy and counterfeiting, thus protecting legitimate online businesses, social media, websites and internet innovation.",http://en.wikipedia.org/wiki/Online_Protection_and_Enforcement_of_Digital_Trade_Act,Great_Seal_of_the_United_States.svg.png
9/18/2012,AT&T's Open Internet Complaint ,"- Public interest groups issue an intent to file an Open Internet Complaint against AT&T to the FCC
- The complaint resulted when AT&T began to block FaceTime on its network unless subscribers sign up for AT&T's new family share plan",http://www.informationweek.com/consumer/atandt-blocks-facetime-net-neutrality-complaint-filed/d/d-id/1106448?,att_555.jpg
1/16/2013,FaceTime Unblocked,"- After tremendous public backlash, AT&T agrees to stop blocking FaceTime for limited data users 
- Unlimited data users however don't get this privilege",http://bits.blogs.nytimes.com/2013/01/16/facetime-limited-data-att/,facetime.jpg
9/12/2013,Permanent Internet Tax Freedom Act,- It would amend the Internet Tax Freedom Act by making the ban on state and local governments from taxing Internet access permanent,http://en.wikipedia.org/wiki/Permanent_Internet_Tax_Freedom_Act_(H.R._3086;_113th_Congress),goodlatte.jpg
1/14/2014,The Death of Net Neutrality,"- On this day, a DC circuit court ruled in the Verizon Communications Inc. vs. FCC case that the FCC had no authority to enforce network neutrality rules against Verizon and other broadband providers since they are not identified as common carriers under the law.
- Effectively eliminated the only existing rules protecting net neutrality",http://en.wikipedia.org/wiki/Verizon_Communications_Inc._v._Federal_Communications_Commission_(2014),rip-net-neutrality.jpg
2/3/2014,Open Internet Preservation Act of 2014,- Restores the rules adopted by the FCC for preserving open internet & broadband industry practices,https://www.govtrack.us/congress/bills/113/hr3982,internet-open-650-430.jpg
2/13/2014,Comcast Time Warner Cable Merger,"- Comcast offers $45.2 billion to acquire Time Warner Cable. 
- The FCC and the U.S. Department of Justice’s antitrust division are currently reviewing the merger.",http://en.wikipedia.org/wiki/Comcast-Time_Warner_Cable_merger,twc.png
2/21/2014,Internet Freedom Act,- It prohibits the FCC from reissuing regulations or issuing new regulations that would preserve an open internet and net neutrality,https://www.congress.gov/bill/113th-congress/house-bill/4070,B001243.jpg
5/13/2014,New Tentative Net Neutrality Rules ,"- FCC releases its new net neutrality proposal
- Important topics in the proposal: the allowance of Internet fast and slow lanes and reclassification for Title II of the Communications Act",https://apps.fcc.gov/edocs_public/attachmatch/FCC-14-61A1.pdf,shirkyqa_r.png
5/28/2014,Amendment to Communications Act of 1934,- The amendment prevents the FCC from placing broadband ISP back under Title II of the Communications Act and from classifying ISPs as common carriers,https://www.congress.gov/bill/113th-congress/house-bill/4752,"220px-Bob_Latta,_official_110th_Congress_photo_portrait.jpg"
6/17/2014,Online Competition and Consumer Choice Act of 2014,"- The proposed act will require the FCC to prohibit paid prioritizations agreements between broadband and content providers 
- It will also ban the FCC from creating internet fast and slow lanes",https://www.govtrack.us/congress/bills/113/s2476,Patrick_Leahy.jpg
7/10/2014,Cybersecurity Information Sharing Act of 2014 (CISA),"- It allows the sharing of Internet traffic information between the U.S government and technology and manufacturing companies
- Bill's goal: to help the U.S. government discover cyber threats and to make sure that the network is secure enough against a cyberattack",http://en.wikipedia.org/wiki/Cybersecurity_Information_Sharing_Act,homeland_security.jpeg
9/9/2014,Open Internet Act of 2014,"- Introduced by Rep. Scott Peters, the act permits the FCC to adopt the Open Internet Rules in order to preserve an open internet 
- Requires FCC to restore portions of the Open Internet Rules that were rejected by the judge in the Verizon vs. FCC case",https://www.govtrack.us/congress/bills/113/hr5429#summary,Scott-Peters-Cong-Photo.jpg
9/10/2014,Internet Slowdown Day,"- On this day, numerous websites joined forces to promote net neutrality and a fair and equal Internet by displaying the symbolic loading symbol",http://en.wikipedia.org/wiki/Internet_Slowdown_Day,loading.png
10/31/2014,Hybrid Approach to Net Neutrality,"- FCC is considering a plan that would separate broadband into two services, one as retail and another for back-end
- Back-end services will be classified as common carriers ",http://www.washingtonpost.com/blogs/the-switch/wp/2014/10/31/the-fcc-offers-a-middle-ground-take-on-net-neutrality-and-everyone-hates-it/,21bits-wheeler-tmagArticle.jpg
